window,target,model,feature,importance,rank
test_2026_q2,consumption,ridge,consumption_lag_1h,1833.0450827808193,1
test_2026_q2,consumption,ridge,consumption_lag_24h,1568.5819678295254,2
test_2026_q2,consumption,ridge,consumption_lag_168h,1348.4130054074792,3
test_2026_q2,consumption,ridge,consumption_rolling_mean_168h,1326.2183796921145,4
test_2026_q2,consumption,ridge,hour_cos,852.029511327917,5
test_2026_q2,consumption,ridge,is_peak_hour,693.8782448639998,6
test_2026_q2,consumption,ridge,consumption_lag_1h_to_24h,680.06162890076,7
test_2026_q2,consumption,ridge,consumption_lag_72h,549.1738540383292,8
test_2026_q2,consumption,ridge,consumption_rolling_min_24h,524.5038215570214,9
test_2026_q2,consumption,ridge,is_overnight,503.5322144388702,10
test_2026_q2,consumption,ridge,consumption_rolling_max_24h,445.35409189050665,11
test_2026_q2,consumption,ridge,is_evening_peak,433.34794610501,12
test_2026_q2,consumption,ridge,consumption_rolling_mean_24h,419.0534883044566,13
test_2026_q2,consumption,ridge,consumption_lag_24h_to_168h,394.92261073012423,14
test_2026_q2,consumption,ridge,hour,382.91329959091837,15
test_2026_q2,consumption,ridge,day_of_week,334.10253797500525,16
test_2026_q2,consumption,ridge,is_morning_ramp,323.5063924506251,17
test_2026_q2,consumption,ridge,day_of_year_sin,149.0250900270843,18
test_2026_q2,consumption,ridge,consumption_lag_48h,128.8629703928159,19
test_2026_q2,consumption,ridge,consumption_rolling_range_24h,122.61085842303414,20
test_2026_q2,consumption,ridge,consumption_rolling_std_24h,105.11787321157747,21
test_2026_q2,consumption,ridge,hour_sin,104.98991164457594,22
test_2026_q2,consumption,ridge,is_weekend,97.22965782462029,23
test_2026_q2,consumption,ridge,consumption_lag_336h,83.240154171135,24
test_2026_q2,consumption,ridge,day_of_year_cos,49.99005292164555,25
test_2026_q2,consumption,ridge,month,23.793675680743885,26
test_2026_q2,consumption,ridge,day_of_year,7.395340917765834,27
