window,target,model,feature,importance,rank
test_2026_q2,price,ridge,price_lag_1h,16.013969223019895,1
test_2026_q2,price,ridge,hour_cos,14.734269967795504,2
test_2026_q2,price,ridge,price_rolling_mean_24h,14.557014574856675,3
test_2026_q2,price,ridge,price_lag_24h,10.555526094940344,4
test_2026_q2,price,ridge,total_production_rolling_mean_168h,8.326961991789412,5
test_2026_q2,price,ridge,price_lag_1h_to_24h,8.106300511499276,6
test_2026_q2,price,ridge,price_rolling_mean_168h,7.088182450728146,7
test_2026_q2,price,ridge,is_peak_hour,6.938263221642811,8
test_2026_q2,price,ridge,price_vs_rolling_mean_24h,6.536675230103513,9
test_2026_q2,price,ridge,is_overnight,6.53633931177334,10
test_2026_q2,price,ridge,total_production_rolling_mean_24h,6.412062073331809,11
test_2026_q2,price,ridge,price_lag_168h,6.189846918494492,12
test_2026_q2,price,ridge,hour_sin,5.897884432331348,13
test_2026_q2,price,ridge,price_lag_24h_to_168h,5.000735811416332,14
test_2026_q2,price,ridge,price_lag_336h,3.9982238151779046,15
test_2026_q2,price,ridge,total_production_rolling_min_24h,3.58447340240541,16
test_2026_q2,price,ridge,price_lag_72h,3.057891438741302,17
test_2026_q2,price,ridge,total_production_rolling_max_24h,3.015731795686814,18
test_2026_q2,price,ridge,consumption_lag_1h,3.01290236003181,19
test_2026_q2,price,ridge,consumption_rolling_min_24h,2.7980320702882864,20
test_2026_q2,price,ridge,hour,2.6920450009952983,21
test_2026_q2,price,ridge,price_lag_168h_to_336h,2.6676208719619936,22
test_2026_q2,price,ridge,is_evening_peak,2.266375075300692,23
test_2026_q2,price,ridge,consumption_lag_48h,2.1959275714833817,24
test_2026_q2,price,ridge,consumption_lag_24h,2.1767613251270146,25
test_2026_q2,price,ridge,consumption_lag_1h_to_24h,2.1532130520381387,26
test_2026_q2,price,ridge,residual_demand_lag_24h,2.0740520939819054,27
test_2026_q2,price,ridge,consumption_rolling_max_24h,2.049744814487324,28
test_2026_q2,price,ridge,forecast_consumption_mwh,1.9386677049950074,29
test_2026_q2,price,ridge,total_production_lag_72h,1.9222617590567097,30
test_2026_q2,price,ridge,total_production_lag_168h,1.7189820533684943,31
test_2026_q2,price,ridge,total_production_lag_24h,1.6793930638344865,32
test_2026_q2,price,ridge,consumption_rolling_range_24h,1.6782280241394074,33
test_2026_q2,price,ridge,consumption_lag_168h,1.5966319349971119,34
test_2026_q2,price,ridge,residual_demand_lag_168h,1.5640357158694358,35
test_2026_q2,price,ridge,forecast_total_production_mwh,1.5428364726320654,36
test_2026_q2,price,ridge,price_lag_48h,1.534612911707536,37
test_2026_q2,price,ridge,is_morning_ramp,1.4558143264455015,38
test_2026_q2,price,ridge,total_production_lag_1h,1.3838832311144564,39
test_2026_q2,price,ridge,consumption_rolling_mean_168h,1.2375736376318827,40
test_2026_q2,price,ridge,consumption_lag_336h,1.1902943680187705,41
test_2026_q2,price,ridge,price_rolling_std_24h,1.1858574689647812,42
test_2026_q2,price,ridge,consumption_rolling_mean_24h,1.130781757547813,43
test_2026_q2,price,ridge,forecast_supply_demand_gap_mwh,1.1180226748133277,44
test_2026_q2,price,ridge,forecast_residual_demand_mwh,1.1180226748012403,45
test_2026_q2,price,ridge,consumption_lag_24h_to_168h,1.0566729419300898,46
test_2026_q2,price,ridge,day_of_year_cos,1.0496676930654283,47
test_2026_q2,price,ridge,day_of_year_sin,1.0153152433172739,48
test_2026_q2,price,ridge,price_rolling_max_24h,1.0054544520638846,49
test_2026_q2,price,ridge,is_weekend,0.9692131231426825,50
test_2026_q2,price,ridge,consumption_lag_72h,0.9475199292916386,51
test_2026_q2,price,ridge,month,0.9472675756724308,52
test_2026_q2,price,ridge,total_production_lag_336h,0.8391386825175031,53
test_2026_q2,price,ridge,solar_lag_24h,0.7979661624253432,54
test_2026_q2,price,ridge,price_rolling_range_24h,0.7160393133981581,55
test_2026_q2,price,ridge,wind_lag_24h,0.7005818905030091,56
test_2026_q2,price,ridge,wind_lag_168h,0.6783605812646383,57
test_2026_q2,price,ridge,residual_demand_lag_24h_to_168h,0.6648432775564597,58
test_2026_q2,price,ridge,total_production_lag_1h_to_24h,0.6419483543125336,59
test_2026_q2,price,ridge,solar_lag_168h,0.6252338207166594,60
test_2026_q2,price,ridge,day_of_week,0.5495088803863999,61
test_2026_q2,price,ridge,day_of_year,0.510303551839818,62
test_2026_q2,price,ridge,price_rolling_min_24h,0.4781468619016024,63
test_2026_q2,price,ridge,consumption_rolling_std_24h,0.4426365978932526,64
test_2026_q2,price,ridge,total_production_lag_48h,0.43261772671042925,65
test_2026_q2,price,ridge,solar_lag_24h_to_168h,0.41848118745224283,66
test_2026_q2,price,ridge,total_production_rolling_range_24h,0.28054183482251915,67
test_2026_q2,price,ridge,total_production_rolling_std_24h,0.15525378150644856,68
test_2026_q2,price,ridge,variable_renewable_lag_24h_to_168h,0.12276504873815706,69
test_2026_q2,price,ridge,variable_renewable_lag_24h,0.10179972249291243,70
test_2026_q2,price,ridge,total_production_lag_24h_to_168h,0.06929621898968275,71
test_2026_q2,price,ridge,variable_renewable_lag_168h,0.02174039434569318,72
test_2026_q2,price,ridge,wind_lag_24h_to_168h,0.01807631326567339,73
test_2026_q2,price,random_forest,price_lag_1h,0.9191559625718079,1
test_2026_q2,price,random_forest,hour_sin,0.012009383660491391,2
test_2026_q2,price,random_forest,price_lag_24h,0.009169999621252483,3
test_2026_q2,price,random_forest,hour,0.007498523851285453,4
test_2026_q2,price,random_forest,solar_lag_24h,0.005625982028164734,5
test_2026_q2,price,random_forest,hour_cos,0.004144842783191162,6
test_2026_q2,price,random_forest,solar_lag_168h,0.0028118374579770657,7
test_2026_q2,price,random_forest,price_lag_168h,0.0016779770311656597,8
test_2026_q2,price,random_forest,price_rolling_mean_24h,0.001568566812667678,9
test_2026_q2,price,random_forest,price_rolling_mean_168h,0.001386494991326582,10
test_2026_q2,price,random_forest,price_lag_336h,0.0013738557476656059,11
test_2026_q2,price,random_forest,price_lag_72h,0.0012945468496171598,12
test_2026_q2,price,random_forest,day_of_year_sin,0.001275686794173576,13
test_2026_q2,price,random_forest,price_rolling_std_24h,0.001215922672689661,14
test_2026_q2,price,random_forest,price_rolling_max_24h,0.00117073314099911,15
test_2026_q2,price,random_forest,price_lag_48h,0.0011176300607506299,16
test_2026_q2,price,random_forest,price_rolling_min_24h,0.001085266671861716,17
test_2026_q2,price,random_forest,price_rolling_range_24h,0.0009640160420713622,18
test_2026_q2,price,random_forest,price_vs_rolling_mean_24h,0.0009631372509384077,19
test_2026_q2,price,random_forest,price_lag_1h_to_24h,0.0009025516220299614,20
test_2026_q2,price,random_forest,is_morning_ramp,0.0008784281918856536,21
test_2026_q2,price,random_forest,day_of_year_cos,0.0008243578386576821,22
test_2026_q2,price,random_forest,day_of_week,0.0007732683187081,23
test_2026_q2,price,random_forest,consumption_lag_1h_to_24h,0.0007433603182656878,24
test_2026_q2,price,random_forest,solar_lag_24h_to_168h,0.0007229309058075792,25
test_2026_q2,price,random_forest,price_lag_24h_to_168h,0.0007035198050355225,26
test_2026_q2,price,random_forest,total_production_lag_1h_to_24h,0.0006612973229913348,27
test_2026_q2,price,random_forest,price_lag_168h_to_336h,0.0006341282045960519,28
test_2026_q2,price,random_forest,consumption_lag_24h_to_168h,0.0005751608683205389,29
test_2026_q2,price,random_forest,consumption_lag_72h,0.0005745138207012589,30
test_2026_q2,price,random_forest,total_production_lag_24h_to_168h,0.0005702334466942655,31
test_2026_q2,price,random_forest,consumption_rolling_std_24h,0.0005693005929637432,32
test_2026_q2,price,random_forest,variable_renewable_lag_24h,0.0005516611913077362,33
test_2026_q2,price,random_forest,wind_lag_24h,0.0005412775658029541,34
test_2026_q2,price,random_forest,residual_demand_lag_24h,0.0005324877027892303,35
test_2026_q2,price,random_forest,total_production_rolling_mean_168h,0.0005294534190476135,36
test_2026_q2,price,random_forest,consumption_lag_336h,0.0005281375004839746,37
test_2026_q2,price,random_forest,total_production_lag_72h,0.0005267735866642877,38
test_2026_q2,price,random_forest,consumption_lag_48h,0.0005021769706337687,39
test_2026_q2,price,random_forest,variable_renewable_lag_168h,0.00048635993825494684,40
test_2026_q2,price,random_forest,total_production_lag_336h,0.00048457958946452684,41
test_2026_q2,price,random_forest,total_production_rolling_std_24h,0.00048313856298530294,42
test_2026_q2,price,random_forest,residual_demand_lag_168h,0.00047629657061807885,43
test_2026_q2,price,random_forest,consumption_rolling_range_24h,0.00047315985893862467,44
test_2026_q2,price,random_forest,consumption_rolling_mean_168h,0.00047245240077755095,45
test_2026_q2,price,random_forest,forecast_residual_demand_mwh,0.00046251884418959397,46
test_2026_q2,price,random_forest,total_production_lag_48h,0.00046230397659954213,47
test_2026_q2,price,random_forest,forecast_supply_demand_gap_mwh,0.0004609640714033261,48
test_2026_q2,price,random_forest,consumption_lag_168h,0.00045939762746775045,49
test_2026_q2,price,random_forest,residual_demand_lag_24h_to_168h,0.0004581684727619171,50
test_2026_q2,price,random_forest,wind_lag_168h,0.0004484667299926733,51
test_2026_q2,price,random_forest,consumption_lag_1h,0.0004401858302715111,52
test_2026_q2,price,random_forest,total_production_lag_168h,0.00043185406928322696,53
test_2026_q2,price,random_forest,is_weekend,0.0004309575409148639,54
test_2026_q2,price,random_forest,total_production_rolling_range_24h,0.0004272002484427395,55
test_2026_q2,price,random_forest,day_of_year,0.0004041763896478072,56
test_2026_q2,price,random_forest,wind_lag_24h_to_168h,0.00035326196439988016,57
test_2026_q2,price,random_forest,variable_renewable_lag_24h_to_168h,0.0003490623180825039,58
test_2026_q2,price,random_forest,total_production_lag_1h,0.0003444832631353665,59
test_2026_q2,price,random_forest,consumption_lag_24h,0.00033765812918536977,60
test_2026_q2,price,random_forest,total_production_lag_24h,0.0003345003783197033,61
test_2026_q2,price,random_forest,total_production_rolling_min_24h,0.000317991835816408,62
test_2026_q2,price,random_forest,total_production_rolling_max_24h,0.00026707860251991213,63
test_2026_q2,price,random_forest,forecast_consumption_mwh,0.000266335326222584,64
test_2026_q2,price,random_forest,total_production_rolling_mean_24h,0.00025066116572495937,65
test_2026_q2,price,random_forest,forecast_total_production_mwh,0.0002463982604950443,66
test_2026_q2,price,random_forest,consumption_rolling_min_24h,0.0002340547682541039,67
test_2026_q2,price,random_forest,consumption_rolling_mean_24h,0.0002212977768103668,68
test_2026_q2,price,random_forest,consumption_rolling_max_24h,0.00019608900574338955,69
test_2026_q2,price,random_forest,month,7.60972835634603e-05,70
test_2026_q2,price,random_forest,is_peak_hour,4.173484184424089e-05,71
test_2026_q2,price,random_forest,is_evening_peak,2.727047759896732e-05,72
test_2026_q2,price,random_forest,is_overnight,1.8458646785416212e-05,73
test_2026_q2,price,lightgbm,price_lag_1h,1262.0,1
test_2026_q2,price,lightgbm,hour,1231.0,2
test_2026_q2,price,lightgbm,hour_sin,793.0,3
test_2026_q2,price,lightgbm,price_vs_rolling_mean_24h,726.0,4
test_2026_q2,price,lightgbm,price_lag_1h_to_24h,667.0,5
test_2026_q2,price,lightgbm,solar_lag_24h,647.0,6
test_2026_q2,price,lightgbm,price_lag_24h,462.0,7
test_2026_q2,price,lightgbm,day_of_year_sin,410.0,8
test_2026_q2,price,lightgbm,price_lag_72h,374.0,9
test_2026_q2,price,lightgbm,price_rolling_range_24h,351.0,10
test_2026_q2,price,lightgbm,hour_cos,340.0,11
test_2026_q2,price,lightgbm,price_rolling_mean_168h,337.0,12
test_2026_q2,price,lightgbm,price_lag_336h,329.0,13
test_2026_q2,price,lightgbm,price_lag_168h,327.0,14
test_2026_q2,price,lightgbm,price_rolling_mean_24h,320.0,15
test_2026_q2,price,lightgbm,consumption_lag_1h_to_24h,318.0,16
test_2026_q2,price,lightgbm,price_rolling_std_24h,316.0,17
test_2026_q2,price,lightgbm,total_production_lag_1h_to_24h,302.0,18
test_2026_q2,price,lightgbm,day_of_week,296.0,19
test_2026_q2,price,lightgbm,solar_lag_168h,295.0,20
test_2026_q2,price,lightgbm,price_lag_48h,280.0,21
test_2026_q2,price,lightgbm,price_rolling_min_24h,269.0,22
test_2026_q2,price,lightgbm,day_of_year_cos,257.0,23
test_2026_q2,price,lightgbm,price_rolling_max_24h,257.0,24
test_2026_q2,price,lightgbm,price_lag_24h_to_168h,256.0,25
test_2026_q2,price,lightgbm,forecast_residual_demand_mwh,253.0,26
test_2026_q2,price,lightgbm,consumption_lag_1h,239.0,27
test_2026_q2,price,lightgbm,consumption_rolling_std_24h,229.0,28
test_2026_q2,price,lightgbm,day_of_year,229.0,29
test_2026_q2,price,lightgbm,solar_lag_24h_to_168h,227.0,30
test_2026_q2,price,lightgbm,total_production_lag_24h_to_168h,223.0,31
test_2026_q2,price,lightgbm,price_lag_168h_to_336h,222.0,32
test_2026_q2,price,lightgbm,wind_lag_24h,221.0,33
test_2026_q2,price,lightgbm,consumption_lag_72h,195.0,34
