window,target,model,feature,importance,rank
test_2026_q2,nuclear,ridge,nuclear_lag_1h,1380.4481147382621,1
test_2026_q2,nuclear,ridge,nuclear_lag_24h,1044.525110488545,2
test_2026_q2,nuclear,ridge,nuclear_lag_168h,797.1487020796477,3
test_2026_q2,nuclear,ridge,nuclear_lag_1h_to_24h,743.704729340642,4
test_2026_q2,nuclear,ridge,nuclear_lag_24h_to_168h,415.18734672212554,5
test_2026_q2,nuclear,ridge,hour_cos,365.01376072881436,6
test_2026_q2,nuclear,ridge,is_overnight,351.44586444575344,7
test_2026_q2,nuclear,ridge,nuclear_rolling_std_24h,293.3782096435789,8
test_2026_q2,nuclear,ridge,is_peak_hour,257.01537121491316,9
test_2026_q2,nuclear,ridge,hour_sin,242.58496909198644,10
test_2026_q2,nuclear,ridge,nuclear_rolling_range_24h,231.6277604125224,11
test_2026_q2,nuclear,ridge,nuclear_rolling_mean_168h,181.08099906923144,12
test_2026_q2,nuclear,ridge,hour,174.85099998725104,13
test_2026_q2,nuclear,ridge,is_morning_ramp,165.37282946265654,14
test_2026_q2,nuclear,ridge,nuclear_rolling_min_24h,137.2761871976591,15
test_2026_q2,nuclear,ridge,is_evening_peak,109.79687778194761,16
test_2026_q2,nuclear,ridge,nuclear_rolling_mean_24h,99.8988784033876,17
test_2026_q2,nuclear,ridge,nuclear_lag_72h,58.52638841763928,18
test_2026_q2,nuclear,ridge,day_of_week,46.704706727166545,19
test_2026_q2,nuclear,ridge,nuclear_lag_336h,41.22305556032473,20
test_2026_q2,nuclear,ridge,nuclear_lag_48h,35.35268272531207,21
test_2026_q2,nuclear,ridge,month,29.459907274122088,22
test_2026_q2,nuclear,ridge,day_of_year,27.39748543273625,23
test_2026_q2,nuclear,ridge,day_of_year_cos,22.49467127714238,24
test_2026_q2,nuclear,ridge,day_of_year_sin,14.137707739942664,25
test_2026_q2,nuclear,ridge,nuclear_rolling_max_24h,3.885781129442248,26
test_2026_q2,nuclear,ridge,is_weekend,3.6299067234580047,27
test_2026_q2,coal,random_forest,coal_lag_1h,0.9863471711233179,1
test_2026_q2,coal,random_forest,coal_lag_1h_to_24h,0.0048296470399226965,2
test_2026_q2,coal,random_forest,coal_rolling_mean_24h,0.0011487736554814446,3
test_2026_q2,coal,random_forest,hour_cos,0.0007607995427992231,4
test_2026_q2,coal,random_forest,coal_lag_72h,0.000689428478801082,5
test_2026_q2,coal,random_forest,hour,0.0006090247524230154,6
test_2026_q2,coal,random_forest,coal_rolling_mean_168h,0.0005462689819569882,7
test_2026_q2,coal,random_forest,hour_sin,0.00048543269767027517,8
test_2026_q2,coal,random_forest,coal_lag_48h,0.0004827669166532917,9
test_2026_q2,coal,random_forest,coal_lag_336h,0.00046211159638896346,10
test_2026_q2,coal,random_forest,coal_rolling_std_24h,0.0004309167427971523,11
test_2026_q2,coal,random_forest,coal_rolling_max_24h,0.00040694511074371186,12
test_2026_q2,coal,random_forest,coal_lag_24h_to_168h,0.00035785950109902857,13
test_2026_q2,coal,random_forest,coal_lag_168h,0.0003436366629551635,14
test_2026_q2,coal,random_forest,coal_rolling_min_24h,0.0003312500845945515,15
test_2026_q2,coal,random_forest,coal_lag_24h,0.00032637634291446117,16
test_2026_q2,coal,random_forest,day_of_year_cos,0.0003137727233117186,17
test_2026_q2,coal,random_forest,day_of_year_sin,0.00026999625434553416,18
test_2026_q2,coal,random_forest,coal_rolling_range_24h,0.00025661121245953056,19
test_2026_q2,coal,random_forest,day_of_year,0.0002517910174083099,20
test_2026_q2,coal,random_forest,day_of_week,0.00015044446224823859,21
test_2026_q2,coal,random_forest,is_morning_ramp,8.351587853040306e-05,22
test_2026_q2,coal,random_forest,month,4.5052535531035155e-05,23
test_2026_q2,coal,random_forest,is_peak_hour,2.7934583374202085e-05,24
test_2026_q2,coal,random_forest,is_overnight,1.4685304029420354e-05,25
test_2026_q2,coal,random_forest,is_weekend,1.3950881225926335e-05,26
test_2026_q2,coal,random_forest,is_evening_peak,1.3835917016561312e-05,27
test_2026_q2,wind,random_forest,wind_lag_1h,0.98913904095563,1
test_2026_q2,wind,random_forest,wind_rolling_max_24h,0.0011476393760730006,2
test_2026_q2,wind,random_forest,wind_rolling_min_24h,0.0009110570799564371,3
test_2026_q2,wind,random_forest,wind_rolling_mean_24h,0.0008498767706464922,4
test_2026_q2,wind,random_forest,day_of_year_cos,0.0006220665504046287,5
test_2026_q2,wind,random_forest,day_of_year_sin,0.0005737917479216101,6
test_2026_q2,wind,random_forest,wind_lag_48h,0.0005717297698888233,7
test_2026_q2,wind,random_forest,wind_lag_72h,0.0005692380742391346,8
test_2026_q2,wind,random_forest,wind_rolling_std_24h,0.0005620615644214617,9
test_2026_q2,wind,random_forest,wind_lag_336h,0.0005242584872186539,10
test_2026_q2,wind,random_forest,hour,0.0005176340204160548,11
test_2026_q2,wind,random_forest,wind_lag_24h_to_168h,0.0004942508852528773,12
test_2026_q2,wind,random_forest,wind_lag_168h,0.0004757937964745665,13
test_2026_q2,wind,random_forest,wind_rolling_mean_168h,0.00046145967243275824,14
test_2026_q2,wind,random_forest,hour_cos,0.00040884340291738385,15
test_2026_q2,wind,random_forest,wind_rolling_range_24h,0.00040445346736087774,16
test_2026_q2,wind,random_forest,hour_sin,0.0003648858019314262,17
test_2026_q2,wind,random_forest,wind_lag_24h,0.00035895266207900604,18
test_2026_q2,wind,random_forest,wind_lag_1h_to_24h,0.00034834726897017,19
test_2026_q2,wind,random_forest,day_of_year,0.0002381846472523525,20
test_2026_q2,wind,random_forest,day_of_week,0.0002087953747703058,21
test_2026_q2,wind,random_forest,is_peak_hour,6.62756558578112e-05,22
test_2026_q2,wind,random_forest,is_morning_ramp,6.606575076055748e-05,23
test_2026_q2,wind,random_forest,month,4.532137976027481e-05,24
test_2026_q2,wind,random_forest,is_evening_peak,3.465057586410395e-05,25
test_2026_q2,wind,random_forest,is_weekend,2.3766968300124174e-05,26
test_2026_q2,wind,random_forest,is_overnight,1.1558293199031055e-05,27
test_2026_q2,solar,random_forest,solar_lag_24h,0.7935291686563177,1
test_2026_q2,solar,random_forest,solar_lag_1h,0.16045121272067442,2
test_2026_q2,solar,random_forest,hour_sin,0.013699176815813941,3
test_2026_q2,solar,random_forest,hour,0.013657878450546331,4
test_2026_q2,solar,random_forest,solar_lag_72h,0.00276094693583538,5
test_2026_q2,solar,random_forest,solar_rolling_std_24h,0.002719128650057187,6
test_2026_q2,solar,random_forest,hour_cos,0.002180861353047403,7
test_2026_q2,solar,random_forest,solar_lag_48h,0.0018865284762881421,8
test_2026_q2,solar,random_forest,solar_rolling_mean_24h,0.0015502911859767675,9
test_2026_q2,solar,random_forest,solar_rolling_range_24h,0.001176959645099932,10
test_2026_q2,solar,random_forest,day_of_year_cos,0.0011303406815597467,11
test_2026_q2,solar,random_forest,solar_rolling_max_24h,0.001116916242157602,12
test_2026_q2,solar,random_forest,solar_lag_168h,0.0009424697704949389,13
test_2026_q2,solar,random_forest,solar_lag_1h_to_24h,0.0007511657808030748,14
test_2026_q2,solar,random_forest,solar_lag_336h,0.0005440090647166918,15
