window,target,model,feature,importance,rank
test_2026_q2,consumption,ridge,consumption_lag_1h,1833.045082783763,1
test_2026_q2,consumption,ridge,consumption_lag_24h,1568.5819678267824,2
test_2026_q2,consumption,ridge,consumption_lag_168h,1348.4130054073667,3
test_2026_q2,consumption,ridge,consumption_rolling_mean_168h,1326.2183796920594,4
test_2026_q2,consumption,ridge,hour_cos,852.0295113279311,5
test_2026_q2,consumption,ridge,is_peak_hour,693.8782448640162,6
test_2026_q2,consumption,ridge,consumption_lag_1h_to_24h,680.0616288996362,7
test_2026_q2,consumption,ridge,consumption_lag_72h,549.1738540383021,8
test_2026_q2,consumption,ridge,consumption_rolling_min_24h,524.5038215565042,9
test_2026_q2,consumption,ridge,is_overnight,503.5322144388951,10
test_2026_q2,consumption,ridge,consumption_rolling_max_24h,445.3540918911691,11
test_2026_q2,consumption,ridge,is_evening_peak,433.3479461050145,12
test_2026_q2,consumption,ridge,consumption_rolling_mean_24h,419.05348830426436,13
test_2026_q2,consumption,ridge,consumption_lag_24h_to_168h,394.9226107300672,14
test_2026_q2,consumption,ridge,hour,382.9132995909299,15
test_2026_q2,consumption,ridge,day_of_week,334.1025379749951,16
test_2026_q2,consumption,ridge,is_morning_ramp,323.5063924506333,17
test_2026_q2,consumption,ridge,day_of_year_sin,149.0250900270807,18
test_2026_q2,consumption,ridge,consumption_lag_48h,128.86297039279802,19
test_2026_q2,consumption,ridge,consumption_rolling_range_24h,122.61085842325552,20
test_2026_q2,consumption,ridge,consumption_rolling_std_24h,105.11787321155103,21
test_2026_q2,consumption,ridge,hour_sin,104.98991164457257,22
test_2026_q2,consumption,ridge,is_weekend,97.22965782461044,23
test_2026_q2,consumption,ridge,consumption_lag_336h,83.24015417112697,24
test_2026_q2,consumption,ridge,day_of_year_cos,49.99005292164142,25
test_2026_q2,consumption,ridge,month,23.79367568067228,26
test_2026_q2,consumption,ridge,day_of_year,7.3953409176963145,27
test_2026_q2,consumption,random_forest,consumption_lag_1h,0.9470869270384887,1
test_2026_q2,consumption,random_forest,consumption_lag_168h,0.021450648984758583,2
test_2026_q2,consumption,random_forest,hour_sin,0.009775358182581894,3
test_2026_q2,consumption,random_forest,consumption_lag_24h,0.008627438081379949,4
test_2026_q2,consumption,random_forest,hour_cos,0.00340397226705496,5
test_2026_q2,consumption,random_forest,hour,0.0026672153335823615,6
test_2026_q2,consumption,random_forest,consumption_rolling_std_24h,0.0005723624300576724,7
test_2026_q2,consumption,random_forest,consumption_rolling_min_24h,0.0005634341174824397,8
test_2026_q2,consumption,random_forest,day_of_week,0.0005382814870341403,9
test_2026_q2,consumption,random_forest,consumption_rolling_mean_24h,0.0005375599277950133,10
test_2026_q2,consumption,random_forest,day_of_year_sin,0.0005356448446734882,11
test_2026_q2,consumption,random_forest,consumption_rolling_range_24h,0.00045728267780409306,12
test_2026_q2,consumption,random_forest,consumption_rolling_max_24h,0.00041753790314171386,13
test_2026_q2,consumption,random_forest,day_of_year_cos,0.0003731271825781096,14
test_2026_q2,consumption,random_forest,consumption_lag_72h,0.00035314723362251505,15
test_2026_q2,consumption,random_forest,consumption_lag_48h,0.0003500796994461549,16
test_2026_q2,consumption,random_forest,is_weekend,0.00034268138759681994,17
test_2026_q2,consumption,random_forest,consumption_lag_1h_to_24h,0.00033459517280365374,18
