window,model,decision_group,recommendation_rank,timestamp_utc,workload_end_utc,duration_hours,predicted_combined_score,predicted_price_direction_vs_previous_day,predicted_avg_carbon_intensity_g_co2e_per_kwh,predicted_total_emissions_kg_co2e,predicted_price_rank,predicted_carbon_rank,candidate_count,actual_decision_rank,combined_regret,cost_regret_eur_mwh,carbon_regret_g_co2e_per_kwh,cost_savings_vs_run_now_eur_mwh,carbon_savings_vs_run_now_g_co2e_per_kwh,agreement_count,model_count,model_agreement_rate,rank_confidence_component,score_margin_component,confidence_score,confidence_level
test_2026_q2,hist_gradient_boosting,2026-04-01,1,2026-04-01 13:00:00+00:00,2026-04-01 14:00:00+00:00,1,0.0,unknown,11.9,415991.8,1,1,24,3,0.07,4.08,0.88,14.53,3.46,6,6,1.0,1.0,0.12,0.82,high
test_2026_q2,hist_gradient_boosting,2026-04-01,2,2026-04-01 14:00:00+00:00,2026-04-01 15:00:00+00:00,1,0.11,unknown,12.46,433656.2,3,4,24,2,0.02,12.33,0.0,6.27,4.33,5,6,0.83,0.75,0.02,0.63,medium
test_2026_q2,hist_gradient_boosting,2026-04-01,3,2026-04-01 12:00:00+00:00,2026-04-01 13:00:00+00:00,1,0.13,unknown,13.56,480585.1,2,6,24,1,0.0,0.0,0.44,18.61,3.89,6,6,1.0,0.5,0.07,0.59,medium
test_2026_q2,hist_gradient_boosting,2026-04-01,4,2026-04-01 15:00:00+00:00,2026-04-01 16:00:00+00:00,1,0.2,unknown,12.86,440457.9,6,5,24,11,0.35,35.76,0.99,-17.15,3.35,5,6,0.83,0.25,0.02,0.41,low
test_2026_q2,hist_gradient_boosting,2026-04-01,5,2026-04-01 11:00:00+00:00,2026-04-01 12:00:00+00:00,1,0.22,unknown,14.23,503190.1,4,8,24,5,0.15,7.39,2.32,11.22,2.01,3,6,0.5,0.0,0.05,0.18,low
test_2026_q2,hist_gradient_boosting,2026-04-02,1,2026-04-02 12:00:00+00:00,2026-04-02 13:00:00+00:00,1,0.0,decrease,9.46,341899.2,1,1,24,2,0.07,8.35,0.36,44.67,8.28,6,6,1.0,1.0,0.07,0.81,high
test_2026_q2,hist_gradient_boosting,2026-04-02,2,2026-04-02 13:00:00+00:00,2026-04-02 14:00:00+00:00,1,0.07,decrease,9.9,355812.9,2,3,24,4,0.13,8.63,1.29,44.39,7.35,6,6,1.0,0.75,0.05,0.7,medium
test_2026_q2,hist_gradient_boosting,2026-04-02,3,2026-04-02 11:00:00+00:00,2026-04-02 12:00:00+00:00,1,0.11,decrease,9.85,361345.6,5,2,24,3,0.09,13.25,0.22,39.76,8.42,6,6,1.0,0.5,0.02,0.58,medium
test_2026_q2,hist_gradient_boosting,2026-04-02,4,2026-04-02 14:00:00+00:00,2026-04-02 15:00:00+00:00,1,0.13,decrease,10.47,376147.7,4,4,24,1,0.0,0.0,0.0,53.02,8.64,6,6,1.0,0.25,0.02,0.47,low
test_2026_q2,hist_gradient_boosting,2026-04-02,5,2026-04-02 15:00:00+00:00,2026-04-02 16:00:00+00:00,1,0.15,decrease,10.6,368897.1,3,6,24,5,0.15,16.98,0.84,36.04,7.8,5,6,0.83,0.0,0.07,0.31,low
test_2026_q2,hist_gradient_boosting,2026-04-03,1,2026-04-03 12:00:00+00:00,2026-04-03 13:00:00+00:00,1,0.0,decrease,6.92,248130.6,1,1,24,2,0.0,0.0,0.39,111.76,8.02,6,6,1.0,1.0,0.14,0.83,high
test_2026_q2,hist_gradient_boosting,2026-04-03,2,2026-04-03 11:00:00+00:00,2026-04-03 12:00:00+00:00,1,0.13,decrease,7.41,277178.6,5,3,24,1,0.0,7.66,0.0,104.1,8.42,6,6,1.0,0.75,0.0,0.69,medium
test_2026_q2,hist_gradient_boosting,2026-04-03,3,2026-04-03 13:00:00+00:00,2026-04-03 14:00:00+00:00,1,0.13,decrease,7.56,257839.4,2,6,24,4,0.04,2.43,0.41,109.32,8.0,6,6,1.0,0.5,0.0,0.57,medium
test_2026_q2,hist_gradient_boosting,2026-04-03,4,2026-04-03 14:00:00+00:00,2026-04-03 15:00:00+00:00,1,0.13,decrease,7.41,258941.7,4,4,24,3,0.0,2.65,0.34,109.11,8.07,4,6,0.67,0.25,0.12,0.37,low
test_2026_q2,hist_gradient_boosting,2026-04-03,5,2026-04-03 20:00:00+00:00,2026-04-03 21:00:00+00:00,1,0.24,decrease,7.35,259951.0,11,2,24,15,0.48,87.79,0.8,23.97,7.61,1,6,0.17,0.0,0.0,0.06,low
test_2026_q2,hist_gradient_boosting,2026-04-04,1,2026-04-04 23:00:00+00:00,2026-04-05 00:00:00+00:00,1,0.2,decrease,8.31,251609.6,6,5,24,2,0.02,4.66,0.0,23.87,0.36,5,6,0.83,1.0,0.03,0.75,medium
test_2026_q2,hist_gradient_boosting,2026-04-04,2,2026-04-04 08:00:00+00:00,2026-04-04 09:00:00+00:00,1,0.22,decrease,8.05,255319.8,11,1,24,6,0.26,13.08,0.87,15.46,-0.5,5,6,0.83,0.75,0.0,0.63,medium
test_2026_q2,hist_gradient_boosting,2026-04-04,3,2026-04-04 00:00:00+00:00,2026-04-04 01:00:00+00:00,1,0.22,decrease,8.19,256053.8,10,2,24,4,0.2,28.53,0.36,0.0,0.0,4,6,0.67,0.5,0.14,0.49,low
test_2026_q2,hist_gradient_boosting,2026-04-04,4,2026-04-04 01:00:00+00:00,2026-04-04 02:00:00+00:00,1,0.33,decrease,8.31,262814.0,13,4,24,12,0.28,29.06,0.46,-0.53,-0.1,1,6,0.17,0.25,0.03,0.18,low
test_2026_q2,hist_gradient_boosting,2026-04-04,5,2026-04-04 11:00:00+00:00,2026-04-04 12:00:00+00:00,1,0.35,decrease,13.93,442415.5,3,15,24,7,0.26,0.99,7.98,27.54,-7.61,2,6,0.33,0.0,0.03,0.12,low
test_2026_q2,hist_gradient_boosting,2026-04-05,1,2026-04-05 00:00:00+00:00,2026-04-05 01:00:00+00:00,1,0.26,decrease,8.19,247200.2,13,1,24,3,0.04,82.35,0.0,0.0,0.0,5,6,0.83,1.0,0.03,0.75,medium
test_2026_q2,hist_gradient_boosting,2026-04-05,2,2026-04-05 02:00:00+00:00,2026-04-05 03:00:00+00:00,1,0.28,decrease,8.71,244193.9,10,5,24,6,0.09,82.32,0.66,0.02,-0.66,5,6,0.83,0.75,0.03,0.64,medium
test_2026_q2,hist_gradient_boosting,2026-04-05,3,2026-04-05 01:00:00+00:00,2026-04-05 02:00:00+00:00,1,0.3,decrease,8.7,255247.9,12,4,24,2,0.02,82.32,0.34,0.02,-0.34,4,6,0.67,0.5,0.07,0.47,low
test_2026_q2,hist_gradient_boosting,2026-04-05,4,2026-04-05 03:00:00+00:00,2026-04-05 04:00:00+00:00,1,0.35,decrease,8.75,241965.0,11,7,24,8,0.15,82.32,0.77,0.02,-0.77,3,6,0.5,0.25,0.0,0.29,low
test_2026_q2,hist_gradient_boosting,2026-04-05,5,2026-04-05 04:00:00+00:00,2026-04-05 05:00:00+00:00,1,0.35,decrease,8.57,239071.3,16,2,24,11,0.22,82.32,1.0,0.02,-1.0,2,6,0.33,0.0,0.0,0.12,low
test_2026_q2,hist_gradient_boosting,2026-04-06,1,2026-04-06 11:00:00+00:00,2026-04-06 12:00:00+00:00,1,0.13,increase,8.66,239589.0,2,6,24,2,0.02,0.0,0.34,144.24,0.81,6,6,1.0,1.0,0.0,0.8,high
test_2026_q2,hist_gradient_boosting,2026-04-06,2,2026-04-06 12:00:00+00:00,2026-04-06 13:00:00+00:00,1,0.13,increase,9.0,240875.9,1,7,24,5,0.07,3.16,0.38,141.08,0.78,6,6,1.0,0.75,0.03,0.69,medium
test_2026_q2,hist_gradient_boosting,2026-04-06,3,2026-04-06 08:00:00+00:00,2026-04-06 09:00:00+00:00,1,0.15,increase,8.13,243415.1,8,1,24,3,0.04,93.17,0.0,51.07,1.15,4,6,0.67,0.5,0.0,0.46,low
test_2026_q2,hist_gradient_boosting,2026-04-06,4,2026-04-06 09:00:00+00:00,2026-04-06 10:00:00+00:00,1,0.15,increase,8.29,238460.4,6,3,24,4,0.04,65.43,0.18,78.81,0.97,5,6,0.83,0.25,0.0,0.4,low
test_2026_q2,hist_gradient_boosting,2026-04-06,5,2026-04-06 10:00:00+00:00,2026-04-06 11:00:00+00:00,1,0.15,increase,8.51,242129.1,4,5,24,1,0.0,42.96,0.12,101.28,1.03,5,6,0.83,0.0,0.08,0.31,low
test_2026_q2,hist_gradient_boosting,2026-04-07,1,2026-04-07 09:00:00+00:00,2026-04-07 10:00:00+00:00,1,0.09,increase,6.92,238085.2,5,1,24,1,0.0,10.84,0.04,23.56,1.33,6,6,1.0,1.0,0.03,0.81,high
