window,model,decision_group,recommendation_rank,timestamp_utc,workload_end_utc,duration_hours,predicted_combined_score,predicted_price_direction_vs_previous_day,predicted_avg_carbon_intensity_g_co2e_per_kwh,predicted_total_emissions_kg_co2e,predicted_price_rank,predicted_carbon_rank,candidate_count,actual_decision_rank,combined_regret,cost_regret_eur_mwh,carbon_regret_g_co2e_per_kwh,cost_savings_vs_run_now_eur_mwh,carbon_savings_vs_run_now_g_co2e_per_kwh,agreement_count,model_count,model_agreement_rate,rank_confidence_component,score_margin_component,confidence_score,confidence_level,is_future_recommendation
future_24h,hist_gradient_boosting,2026-08-09,1,2026-08-09 17:00:00+00:00,2026-08-09 18:00:00+00:00,1,0.17,decrease,19.36,995815.37,3,1,7,1,0.0,12.61,0.0,0.0,0.0,1,1,1.0,1.0,0.0,0.8,high,True
future_24h,hist_gradient_boosting,2026-08-09,2,2026-08-09 22:00:00+00:00,2026-08-09 23:00:00+00:00,1,0.17,decrease,30.66,1423617.3,2,2,7,2,0.0,4.26,11.3,8.35,-11.3,1,1,1.0,0.75,0.0,0.69,medium,True
future_24h,hist_gradient_boosting,2026-08-09,3,2026-08-09 23:00:00+00:00,2026-08-10 00:00:00+00:00,1,0.17,increase,31.34,1394345.03,1,3,7,3,0.0,0.0,11.98,12.61,-11.98,1,1,1.0,0.5,0.44,0.66,medium,True
future_24h,hist_gradient_boosting,2026-08-09,4,2026-08-09 21:00:00+00:00,2026-08-09 22:00:00+00:00,1,0.5,increase,32.01,1513439.93,4,4,7,4,0.33,20.37,12.66,-7.77,-12.66,1,1,1.0,0.25,0.22,0.51,medium,True
future_24h,hist_gradient_boosting,2026-08-09,5,2026-08-09 18:00:00+00:00,2026-08-09 19:00:00+00:00,1,0.67,increase,35.02,1736897.64,5,5,7,5,0.5,37.98,15.66,-25.38,-15.66,1,1,1.0,0.0,0.33,0.42,low,True
future_24h,hist_gradient_boosting,2026-08-10,1,2026-08-10 10:00:00+00:00,2026-08-10 11:00:00+00:00,1,0.03,decrease,9.12,443341.47,1,2,17,1,0.0,0.0,1.04,148.74,13.81,1,1,1.0,1.0,0.1,0.82,high,True
future_24h,hist_gradient_boosting,2026-08-10,2,2026-08-10 09:00:00+00:00,2026-08-10 10:00:00+00:00,1,0.12,decrease,8.08,412867.77,5,1,17,2,0.09,6.47,0.0,142.27,14.85,1,1,1.0,0.75,0.0,0.69,medium,True
future_24h,hist_gradient_boosting,2026-08-10,3,2026-08-10 12:00:00+00:00,2026-08-10 13:00:00+00:00,1,0.12,decrease,10.42,503535.7,2,4,17,3,0.09,0.19,2.34,148.55,12.51,1,1,1.0,0.5,0.03,0.58,medium,True
future_24h,hist_gradient_boosting,2026-08-10,4,2026-08-10 11:00:00+00:00,2026-08-10 12:00:00+00:00,1,0.16,decrease,10.21,491873.92,4,3,17,4,0.12,5.27,2.13,143.47,12.72,1,1,1.0,0.25,0.03,0.47,low,True
future_24h,hist_gradient_boosting,2026-08-10,5,2026-08-10 13:00:00+00:00,2026-08-10 14:00:00+00:00,1,0.19,decrease,10.74,517018.51,3,5,17,5,0.16,3.37,2.66,145.37,12.19,1,1,1.0,0.0,0.17,0.38,low,True
