window,model,decision_group,recommendation_rank,timestamp_utc,workload_end_utc,duration_hours,predicted_combined_score,predicted_price_direction_vs_previous_day,predicted_avg_carbon_intensity_g_co2e_per_kwh,predicted_total_emissions_kg_co2e,predicted_price_rank,predicted_carbon_rank,candidate_count,actual_decision_rank,combined_regret,cost_regret_eur_mwh,carbon_regret_g_co2e_per_kwh,cost_savings_vs_run_now_eur_mwh,carbon_savings_vs_run_now_g_co2e_per_kwh,agreement_count,model_count,model_agreement_rate,rank_confidence_component,score_margin_component,confidence_score,confidence_level
latest_test,hist_gradient_boosting,2026-05-11,1,2026-05-11 17:00:00+00:00,2026-05-11 18:00:00+00:00,1,0.0,unknown,6.55,384753.3,1,1,7,1,0.0,0.0,0.0,0.0,0.0,6,6,1.0,1.0,0.3,0.86,high
latest_test,hist_gradient_boosting,2026-05-11,2,2026-05-11 18:00:00+00:00,2026-05-11 19:00:00+00:00,1,0.25,unknown,7.15,408284.6,3,2,7,3,0.42,43.35,0.62,-43.35,-0.62,6,6,1.0,0.75,0.2,0.73,medium
latest_test,hist_gradient_boosting,2026-05-11,3,2026-05-11 23:00:00+00:00,2026-05-12 00:00:00+00:00,1,0.42,unknown,8.0,415172.3,2,5,7,2,0.25,8.19,0.81,-8.19,-0.81,5,6,0.83,0.5,0.1,0.54,medium
latest_test,hist_gradient_boosting,2026-05-11,4,2026-05-11 22:00:00+00:00,2026-05-11 23:00:00+00:00,1,0.5,unknown,7.9,428240.0,4,4,7,5,0.58,21.84,1.63,-21.84,-1.63,6,6,1.0,0.25,0.2,0.5,medium
latest_test,hist_gradient_boosting,2026-05-11,5,2026-05-11 19:00:00+00:00,2026-05-11 20:00:00+00:00,1,0.67,unknown,7.87,433396.2,7,3,7,6,0.83,44.74,1.34,-44.74,-1.34,5,6,0.83,0.0,0.2,0.33,low
latest_test,hist_gradient_boosting,2026-05-12,1,2026-05-12 12:00:00+00:00,2026-05-12 13:00:00+00:00,1,0.09,unknown,6.2,366918.1,1,5,24,2,0.04,0.75,0.05,63.27,1.97,5,6,0.83,1.0,0.06,0.75,high
latest_test,hist_gradient_boosting,2026-05-12,2,2026-05-12 11:00:00+00:00,2026-05-12 12:00:00+00:00,1,0.13,unknown,6.19,366355.9,4,4,24,1,0.0,2.66,0.0,61.36,2.01,6,6,1.0,0.75,0.0,0.69,medium
latest_test,hist_gradient_boosting,2026-05-12,3,2026-05-12 13:00:00+00:00,2026-05-12 14:00:00+00:00,1,0.13,unknown,6.3,373360.6,2,6,24,5,0.11,0.0,0.6,64.02,1.42,6,6,1.0,0.5,0.03,0.58,medium
latest_test,hist_gradient_boosting,2026-05-12,4,2026-05-12 09:00:00+00:00,2026-05-12 10:00:00+00:00,1,0.15,unknown,6.1,369302.2,7,2,24,4,0.11,18.54,0.02,45.48,1.99,6,6,1.0,0.25,0.0,0.46,low
latest_test,hist_gradient_boosting,2026-05-12,5,2026-05-12 10:00:00+00:00,2026-05-12 11:00:00+00:00,1,0.15,unknown,6.16,369475.5,6,3,24,3,0.07,15.27,0.0,48.75,2.01,6,6,1.0,0.0,0.03,0.36,low
